Period,People,Men,Women
Dec to Feb 2020,4.1,4.3,3.8
Jan to Mar 2020,4.1,4.3,3.9
Feb to Apr 2020,4.2,4.3,3.9
Mar to May 2020,4.2,4.3,4.1
Apr to Jun 2020,4.2,4.3,4.1
May to Jul 2020,4.4,4.6,4.2
Jun to Aug 2020,4.7,5,4.3
Jul to Sep 2020,5,5.4,4.6
Aug to Oct 2020,5.2,5.5,4.8
Sep to Nov 2020,5.2,5.5,4.9
Oct to Dec 2020,5.3,5.5,5.1
Nov to Jan 2021,5.3,5.5,5
Dec to Feb 2021,5.2,5.4,4.9
Jan to Mar 2021,5.1,5.3,4.8
Feb to Apr 2021,5,5.2,4.8
Mar to May 2021,5,5.1,4.9
Apr to Jun 2021,4.8,5,4.6
May to Jul 2021,4.7,4.9,4.5
Jun to Aug 2021,4.6,4.7,4.4
Jul to Sept 2021,4.4,4.5,4.3
Aug to Oct 2021,4.3,4.4,4.2
Sep to Nov 2021,4.2,4.4,4
Oct to Dec 2021,4.2,4.3,4.1
Nov to Jan 2022,4.1,4.3,3.9
Dec to Feb 2022,4,4.1,3.8
Jan to Mar 2022,3.9,4,3.7
Feb to Apr 2022,4,4,3.9
Mar to May 2022,3.9,4,3.8
Apr to Jun 2022,3.9,4.1,3.8
May to Jul 2022,3.7,3.8,3.7
Jun to Aug 2022,3.6,3.7,3.6
Jul to Sep 2022,3.8,3.8,3.7
Aug to Oct 2022,3.9,4,3.7
Sep to Nov 2022,3.8,3.9,3.7
Oct to Dec 2022,3.9,4,3.8
Nov to Jan 2023,3.8,3.9,3.7
Dec to Feb 2023,3.9,4,3.8
Jan to Mar 2023,4,4.3,3.7
Feb to Apr 2023,3.9,4.1,3.7
Mar to May 2023,4,4.4,3.6
Apr to Jun 2023,4.2,4.5,3.9
May to Jul 2023,4.3,4.7,3.9
Jun to Aug 2023,4.2,4.6,3.8
Jul to Sep 2023,4.1,4.4,3.7
Aug to Oct 2023,4,4.3,3.6
Sep to Nov 2023,3.9,4.2,3.6
Oct to Dec 2023,3.8,4.1,3.5
